asset_id,filename,bin_path,file_path,used_in_timeline,notes
jal-kumojo-shosai-pilot_023,jal-kumojo-shosai-pilot_023.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_023.mp3,yes,
jal-kumojo-shosai-pilot_022,jal-kumojo-shosai-pilot_022.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_022.mp3,yes,
jal-kumojo-shosai-pilot_025,jal-kumojo-shosai-pilot_025.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_025.mp3,yes,
jal-kumojo-shosai-pilot_024,jal-kumojo-shosai-pilot_024.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_024.mp3,yes,
jal-kumojo-shosai-pilot_027,jal-kumojo-shosai-pilot_027.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_027.mp3,yes,
jal-kumojo-shosai-pilot_028,jal-kumojo-shosai-pilot_028.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_028.mp3,yes,
jal-kumojo-shosai-pilot_030,jal-kumojo-shosai-pilot_030.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_030.mp3,yes,
jal-kumojo-shosai-pilot_026,jal-kumojo-shosai-pilot_026.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_026.mp3,yes,
jal-kumojo-shosai-pilot_029,jal-kumojo-shosai-pilot_029.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_029.mp3,yes,
jal-kumojo-shosai-pilot_031,jal-kumojo-shosai-pilot_031.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_031.mp3,yes,
jal-kumojo-shosai-pilot_034,jal-kumojo-shosai-pilot_034.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_034.mp3,yes,
jal-kumojo-shosai-pilot_032,jal-kumojo-shosai-pilot_032.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_032.mp3,yes,
jal-kumojo-shosai-pilot_033,jal-kumojo-shosai-pilot_033.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_033.mp3,yes,
jal-kumojo-shosai-pilot_037,jal-kumojo-shosai-pilot_037.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_037.mp3,yes,
jal-kumojo-shosai-pilot_035,jal-kumojo-shosai-pilot_035.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_035.mp3,yes,
jal-kumojo-shosai-pilot_036,jal-kumojo-shosai-pilot_036.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_036.mp3,yes,
jal-kumojo-shosai-pilot_040,jal-kumojo-shosai-pilot_040.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_040.mp3,yes,
jal-kumojo-shosai-pilot_038,jal-kumojo-shosai-pilot_038.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_038.mp3,yes,
jal-kumojo-shosai-pilot_039,jal-kumojo-shosai-pilot_039.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_039.mp3,yes,
jal-kumojo-shosai-pilot_043,jal-kumojo-shosai-pilot_043.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_043.mp3,yes,
jal-kumojo-shosai-pilot_042,jal-kumojo-shosai-pilot_042.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_042.mp3,yes,
jal-kumojo-shosai-pilot_041,jal-kumojo-shosai-pilot_041.mp3,Master/JAL_雲上書斎_Pilot/01_Narration,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/audio/narration/jal-kumojo-shosai-pilot_041.mp3,yes,
02 空中庭園　リズムなし,02 空中庭園　リズムなし.wav,Master/JAL_雲上書斎_Pilot/02_BGM,/Users/delaxpro/Dropbox/プラッと/03_プラッとBGM/00_Original/1 - PR/02 空中庭園　リズムなし.wav,yes,
ANW4149_002_Stargaze-05,ANW4149_002_Stargaze-05.wav,Master/JAL_雲上書斎_Pilot/02_BGM,/Users/delaxpro/src/80_トヨタ/OrionS2_ALL/BGM解析/ANW4149_002_Stargaze-05.wav,yes,
ANW4478_002_The-Assignment-03,ANW4478_002_The-Assignment-03.wav,Master/JAL_雲上書斎_Pilot/02_BGM,/Users/delaxpro/src/80_トヨタ/OrionS2_ALL/BGM解析/ANW4478_002_The-Assignment-03.wav,yes,
timecoded,timecoded,Master/JAL_雲上書斎_Pilot/03_Subtitles_Docs,/Users/delaxpro/src/20_tools/davinciauto/projects/jal/kumojo-shosai-pilot/outputs/subtitles/timecoded.srt,no,
JAL_雲上書斎_Pilot_v001,JAL_雲上書斎_Pilot_v001,Master/JAL_雲上書斎_Pilot/03_Subtitles_Docs,,no,
old-map-and-other-stuff-SBV-312190339-HD,old-map-and-other-stuff-SBV-312190339-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/old-map-and-other-stuff-SBV-312190339-HD.mp4,yes,
airplane-window-passenger-looking-out-clouds-SBV-300231422-HD,airplane-window-passenger-looking-out-clouds-SBV-300231422-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/airplane-window-passenger-looking-out-clouds-SBV-300231422-HD.mp4,no,
closeup-of-the-second-hand-of-a-clock-4k-SBV-308010248-HD,closeup-of-the-second-hand-of-a-clock-4k-SBV-308010248-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/closeup-of-the-second-hand-of-a-clock-4k-SBV-308010248-HD.mp4,yes,
flying-over-dramatic-sunset-cloudy-sky-SBV-352079384-HD,flying-over-dramatic-sunset-cloudy-sky-SBV-352079384-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/flying-over-dramatic-sunset-cloudy-sky-SBV-352079384-HD.mp4,yes,
flying-through-clouds-in-an-airplane-SBV-331805029-HD,flying-through-clouds-in-an-airplane-SBV-331805029-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/flying-through-clouds-in-an-airplane-SBV-331805029-HD.mp4,yes,
railway-junction-train-pulls-the-wagons-SBV-312334492-HD,railway-junction-train-pulls-the-wagons-SBV-312334492-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/railway-junction-train-pulls-the-wagons-SBV-312334492-HD.mp4,no,
